Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
ST JEAN DE LUZ;COARRAZE-NAY;;24.8;37.2;;
SURDON;GRANVILLE;;24.8;37.2;;
BORDEAUX ST JEAN;ROCHEFORT;10;28.1;42.1;;
PARIS NORD;ABBEVILLE;10;29.1;43.7;;
LES AUBRAIS;VALLON EN SULLY;10;31.9;47.8;;
COARRAZE-NAY;TOULOUSE MATABIAU;10;32.1;48.1;;
DREUX;VILLEDIEU-LES-POÊLES;10;33.9;50.9;;
ROCHEFORT;MONTENDRE;;19.2;28.7;;
BRIOUDE;NÎMES;10;36.0;53.9;;
LORIENT;CHATELAILLON;20;52.6;78.9;;
LIMOGES BENEDICTINS;LYON PERRACHE;20;56.0;84.0;;
NANTES;MOULINS SUR ALLIER;20;59.5;89.3;;
CORRÈZE;EGLETONS;;4.2;6.3;;
LA BASTIDE ST LAURENT;VILLEFORT;;4.6;6.9;;
PONS;JONZAC;;4.6;6.9;;
VALLON EN SULLY;MONTLUÇON;;5.3;7.9;;
BEUIL;EVREUX;;6.1;9.2;;
ST QUENTIN;BUSIGNY;;6.1;9.2;;
NOGENT SUR VERNISSON;BRIARE;;6.6;9.8;;
CREIL;ST-JUST-EN-CHAUSSÉE;;6.8;10.2;;
LISIEUX;TROUVILLE-DEAUVILLE;;6.8;10.2;;
CREIL;COMPIÈGNE;;7.4;11.1;;
BORDEAUX ST JEAN;LIBOURNE;;8.0;12.0;;
GAILLON-AUBEVOYE;ROUEN;;9.8;14.6;;
LANGOGNE;GÉNOLHAC;;10.4;15.6;;
OISSEL;YVETOT;;10.4;15.6;;
PARIS NORD;CLERMONT-DE-L'OISE;;12.8;19.1;;
TULLE (+ REBROUSSEMENT);USSEL;;12.8;19.1;;
AMIENS;RUE;;13.1;19.6;;
BOURGES;NEVERS;;13.2;19.8;;
CREIL;LONGUEAU;;14.1;21.1;;
BRIARE;POUGUES LES EAUX;;14.2;21.4;;
NANTES;LA ROCHE SUR YON;;14.4;21.6;;
LES AUBRAIS;VIERZON;;15.0;22.5;;
LANGOGNE;ALÈS;;15.6;23.4;;
BRIOUDE;LANGOGNE;;17.7;26.5;;
VERNON;YVETOT;;17.7;26.5;;
LONGUEAU;ETAPLES LE TOUQUET;;18.0;26.9;;
NEVERS;ST GERMAIN DES FOSSÉS;;18.0;26.9;;
BERNAY;BAYEUX;;19.2;28.7;;
NOGENT SUR VERNISSON;FOURCHAMBAULT;;20.1;30.1;;
NOYON;AULNOYE;;22.4;33.5;;
LIBOURNE;THIVIERS;;22.5;33.7;;
PARIS MONTPARNASSE VAUGIRARD;L'AIGLE;10;24.4;36.5;;
PARIS SAINT LAZARE;BRÉVAL;;24.6;37.0;;
CHATELAILLON;ST ANDRÉ DE CUBZAC;10;27.6;41.3;;
BORDEAUX ST JEAN;THIVIERS;10;27.9;41.9;;
CREIL;ETAPLES LE TOUQUET;10;29.1;43.7;;
PARIS AUSTERLITZ;AMBOISE;15;33.2;49.8;;
RIOM;LYON PERRACHE;10;33.8;50.7;;
MÉZIDON;ST PIERRE DES CORPS;15;37.1;55.6;;
ORTHEZ;TOULOUSE MATABIAU;10;39.0;58.5;;
ROMILLY;LURE;15;41.6;62.5;;
PARIS EST;VESOUL;20;52.8;79.2;;
LYON PERRACHE;TOURS;15;63.0;94.5;;
PEYREHORADE;LANNEMEZAN;;28.3;42.4;;
LYON VAISE;ROANNE;;17.4;26.0;;
TULLE (+ REBROUSSEMENT);CORRÈZE;;4.0;5.9;;
ST MARIENS;ST ANDRÉ DE CUBZAC;;4.2;6.3;;
TERRASSON;BRIVE LA GAILLARDE;;4.6;6.9;;
TRACY SANCERRE;LA CHARITÉ;;5.1;7.6;;
SAINTES;PONS;;5.3;7.9;;
ST ANDRÉ DE CUBZAC;BORDEAUX;;5.3;7.9;;
MANTES-LA-JOLIE;BEUIL;;5.5;8.2;;
FLERS;VIRE;;6.6;9.8;;
NEMOURS;MONTARGIS;;7.2;10.8;;
BOURGES;CHATEAUNEUF SUR CHER;;8.0;12.0;;
SURDON;BRIOUZE;;9.0;13.4;;
AMIENS;ABBEVILLE;;9.3;13.9;;
COMPIÈGNE;TERGNIER;;9.6;14.4;;
ARVANT;NEUSSARGUES;;10.1;15.1;;
MONTPON-MÉNESTÉROL;MEYMAC;15;37.9;56.8;;
ST QUENTIN;CAMBRAI;;10.6;15.8;;
NOGENT SUR SEINE;TROYES;;11.1;16.6;;
MÉZIDON;SURDON;;11.5;17.3;;
LANGOGNE;GRAND COMBES-LA PISE;;13.6;20.5;;
PARIS NORD;NOYON;;19.0;28.5;;
EVREUX EMBRANCHEMENT;PARIS ST LAZARE;10;19.0;28.5;;
NANTES;LUÇON;;20.2;30.3;;
PARIS EST  SUR SEINE;ROMILLY;10;22.7;34.0;;
CULMONT CHALINDREY;BELFORT;;23.4;35.0;;
CREIL;CAUDRY;;24.1;36.1;;
MÉZIDON;LE MANS;;24.5;36.7;;
CHATELAILLON;ST MARIENS;;24.8;37.2;;
BIARRITZ;LOURDES;10;26.5;39.7;;
BERNAY;CARENTAN;10;26.5;39.7;;
CLERMONT FERRAND;LANGOGNE;;28.4;42.6;;
VERNEUIL-SUR-AVRE;VILLEDIEU-LES-POÊLES;10;29.6;44.4;;
PARIS MONTPARNASSE VAUGIRARD;SURDON;10;30.0;44.9;;
PARIS NORD;NOYELLES;15;30.7;46.0;;
NANTES;ST PIERRE DES CORPS;10;31.5;47.3;;
LANGEAC;NÎMES;10;32.1;48.1;;
MOULINS SUR ALLIER;LYON PART DIEU;10;32.6;48.9;;
PARIS SAINT LAZARE;PONT L'EVEQUE;10;33.1;49.6;;
VERNEUIL-SUR-AVRE;GRANVILLE;10;33.2;49.8;;
BORDEAUX ST JEAN;LIMOGES-BÉNÉDICTINS;10;35.4;53.0;;
PARIS AUSTERLITZ;ST PIERRE DES CORPS;15;35.8;53.8;;
VENDEUVRE;BELFORT;15;37.1;55.6;;
PARIS MONTPARNASSE VAUGIRARD;VILLEDIEU-LES-POÊLES;15;43.8;65.7;;
NOGENT SUR SEINE;LURE;15;44.1;66.1;;
CULMONT CHALINDREY;PARIS EST;15;45.3;67.9;;
PEYREHORADE;ORTHEZ;;7.2;10.8;;
CHAUNY;TERGNIER;;2.2;3.2;;
TRACY SANCERRE;POUILLY SUR LOIRE;;2.6;3.8;;
CREIL;PONT STE MAXENCE;;3.0;4.4;;
FOLLIGNY;GRANVILLE;;3.7;5.6;;
EVREUX EMBRANCHEMENT;CONCHES;;4.2;4.2;;
COSNE;POUILLY SUR LOIRE;;4.4;6.6;;
NOGENT SUR VERNISSON;GIEN;;4.4;6.6;;
GAILLON-AUBEVOYE;VAL-DE-REUIL;;4.4;6.6;;
BOURGES;SAINT FLORENT SUR CHER;;4.6;6.9;;
AMBOISE;SAINT PIERRE DES CORPS;;5.1;7.6;;
VERNON;VAL-DE-REUIL;;7.2;10.8;;
TARBES;LANNEMEZAN;;8.0;12.0;;
CHÂTEAU DU LOIR;TOURS;;10.1;15.1;;
MONTPON-MÉNESTÉROL;PÉRIGUEUX;;10.4;15.6;;
CLERMONT FERRAND;VICHY;;10.9;16.3;;
LIBOURNE;MUSSIDAN;;11.1;16.6;;
MARMANDE;AGEN;;11.2;16.8;;
THIVIERS;LIMOGES-BÉNÉDICTINS;;12.0;18.0;;
SAUMUR RIVE DROITE;ST PIERRE DES CORPS;;12.3;18.5;;
CREIL;CHAUNY;;13.8;20.7;;
BRIARE;FOURCHAMBAULT;;15.3;22.9;;
BRIARE;NEVERS;;16.2;24.3;;
LONGUEAU;RANG-DU FLIERS;;16.3;24.5;;
ST-JUST-EN-CHAUSSÉE;ABBEVILLE;;17.1;25.6;;
LA ROCHELLE;PONS;;17.2;25.8;;
PAU;LANNEMEZAN;;17.4;26.0;;
CAEN;VALOGNES;;18.4;27.6;;
VERNEUIL-SUR-AVRE;BRIOUZE;;19.0;28.5;;
ST-JUST-EN-CHAUSSÉE;NOYELLES;;19.0;28.5;;
ORLÉANS;SAINT PIERRE DES CORPS;;20.2;30.3;;
PÉRIGUEUX;CORRÈZE;;20.8;31.2;;
NEMOURS;TRACY SANCERRE;;21.1;31.6;;
VERNEUIL-SUR-AVRE;FLERS;;21.9;32.9;;
PONT STE MAXENCE;CAUDRY;;22.5;33.7;;
COUTRAS;TERRASSON;;22.7;34.0;;
BERNAY;LISON;;23.5;35.2;;
ALENÇON;TOURS;;26.5;39.7;;
VERNEUIL-SUR-AVRE;VIRE;;26.5;39.7;;
PARIS GARE DE BERCY;BRIARE;10;27.8;41.7;;
PONT STE MAXENCE;MAUBEUGE;10;28.1;42.1;;
LES AUBRAIS;SAINT AMAND MONTROND;10;28.6;43.0;;
BAYONNE;ST GAUDENS;10;35.8;53.8;;
LA PARDIEU;GRAND COMBES-LA PISE;10;36.7;55.0;;
PARIS MONTPARNASSE VAUGIRARD;FLERS;15;37.2;55.8;;
TOURS;CAEN;15;39.8;59.7;;
CLERMONT FERRAND;NÎMES;15;45.0;67.5;;
NANTES;BOURGES;15;48.5;72.7;;
NANTES;NEVERS;20;55.6;83.4;;
LYON VAISE;SAINCAIZE;10;38.5;57.8;;
BRÉVAL;BEUIL;;2.6;3.8;;
AMBOISE;TOURS;;5.7;8.5;;
ECOMMOY;CHÂTEAU DU LOIR;;6.4;9.5;;
VIERZON;BOURGES;;7.2;10.8;;
BUSIGNY;AULNOYE;;7.9;11.8;;
NOYELLES;ETAPLES LE TOUQUET;;8.2;12.3;;
RANG-DU FLIERS;BOULOGNE SUR MER;;8.2;12.3;;
ORTHEZ;PAU;;8.5;12.7;;
PONS;MONTENDRE;;8.8;13.2;;
ARGENTAN;ALENÇON;;9.1;13.7;;
CHATEAUNEUF SUR CHER;VALLON EN SULLY;;9.9;14.9;;
ABBEVILLE;ETAPLES LE TOUQUET;;10.3;15.4;;
MANTES-LA-JOLIE;EVREUX;;10.3;15.4;;
COSNE;FOURCHAMBAULT;;10.4;15.6;;
MANTES-LA-JOLIE;VAL-DE-REUIL;;10.7;16.1;;
LOURDES;LANNEMEZAN;;11.4;17.0;;
LA PARDIEU;ARVANT;;11.4;17.0;;
LES AUBRAIS;BLOIS;;11.5;17.3;;
COUTRAS;ST ASTIER;;11.5;17.3;;
CLERMONT-DE-L'OISE;LONGUEAU;;11.7;17.5;;
MÉZIDON;SÉES;;13.1;19.6;;
MANTES-LA-JOLIE;OISSEL;;13.2;19.8;;
VICHY;ROANNE;;14.4;21.6;;
ORTHEZ;LOURDES;;14.7;22.0;;
CAEN;SURDON;;15.1;22.7;;
MONTARGIS;POUILLY SUR LOIRE;;17.2;25.8;;
MOULINS SUR ALLIER;ROANNE;;19.0;28.5;;
NOYON;MAUBEUGE;;21.4;32.0;;
LONGUEAU;PARIS NORD;10;22.1;33.1;;
EVREUX;CAEN;;22.8;34.2;;
LUÇON;SAINTES;;24.1;36.1;;
MANTES-LA-JOLIE;BRÉAUTÉ-BEUZEVILLE;;24.9;37.4;;
PARIS SAINT LAZARE;SERQUIGNY;10;26.0;39.0;;
MANTES-LA-JOLIE;PONT L'EVEQUE;10;26.3;39.4;;
VICHY;LYON PERRACHE;10;28.9;43.3;;
BAR SUR AUBE;LURE;10;30.7;46.0;;
ST GEORGES D'AURAC;NÎMES;10;33.1;49.6;;
BIARRITZ;LANNEMEZAN;10;33.4;50.1;;
SALBRIS;SAINT FLORENT SUR CHER;15;34.4;51.6;;
COUTRAS;USSEL;10;37.1;55.6;;
BIARRITZ;ST GAUDENS;10;37.1;55.6;;
ROMILLY;VESOUL;15;38.0;57.0;;
TROYES;BELFORT;15;41.2;61.7;;
TOURS;ROANNE;20;50.8;76.1;;
LIMOGES BENEDICTINS;LYON PART DIEU;20;55.9;83.9;;
ANGERS;LYON VAISE;15;72.5;108.7;;
CLERMONT FERRAND;LA PARDIEU;;1.4;2.1;;
BEAUMONT LE ROGER;SERQUIGNY;;2.0;3.0;;
NOYELLES;RUE;;2.8;4.1;;
LA CHARITÉ;POUGUES LES EAUX;;3.3;5.0;;
COARRAZE-NAY;LOURDES;;5.1;7.6;;
VIRE;VILLEDIEU-LES-POÊLES;;5.9;8.9;;
BRIOUDE;LANGEAC;;7.2;10.8;;
ROUEN;YVETOT;;8.2;12.3;;
ARVANT;LANGEAC;;8.8;13.2;;
CORRÈZE;USSEL;;9.9;14.9;;
TARARE;LYON PART DIEU;;10.7;16.1;;
FLERS;VILLEDIEU-LES-POÊLES;;10.9;16.3;;
MONTENDRE;BORDEAUX;;11.4;17.0;;
PONS;ST MARIENS;;11.5;17.3;;
DREUX;L'AIGLE;;11.7;17.5;;
VAL-DE-REUIL;BRÉAUTÉ-BEUZEVILLE;;16.6;24.9;;
LE MANS;ST PIERRE DES CORPS;;17.7;26.5;;
BRIOUZE;GRANVILLE;;18.1;27.2;;
ANGERS ST LAUD;TOURS;;19.0;28.5;;
CLERMONT-DE-L'OISE;ABBEVILLE;;19.8;29.7;;
COUTRAS;TULLE (+ REBROUSSEMENT);10;29.1;43.7;;
CREIL;NOYELLES;;23.8;35.7;;
LIBOURNE;CONDAT LE LARDIN;;24.1;36.1;;
COUTRAS;BRIVE LA GAILLARDE;;26.0;39.0;;
PARIS NORD;ST QUENTIN;10;26.5;39.7;;
CLERMONT FERRAND;TARARE;10;29.0;43.5;;
PARIS AUSTERLITZ;BLOIS;10;29.4;44.0;;
PARIS SAINT LAZARE;YVETOT;10;29.4;44.0;;
CHAUMONT;BELFORT;10;29.6;44.4;;
VIERZON;ST GERMAIN DES FOSSÉS;10;29.6;44.4;;
BORDEAUX ST JEAN;TERRASSON;10;30.0;44.9;;
CREIL;BOULOGNE SUR MER;10;32.3;48.5;;
PARIS NORD;CAMBRAI;10;32.8;49.2;;
PARIS SAINT LAZARE;TROUVILLE-DEAUVILLE;15;34.5;51.8;;
HENDAYE;ST GAUDENS;10;40.2;60.3;;
PARIS SAINT LAZARE;CARENTAN;15;46.0;69.0;;
LYON PART DIEU;GUERET;15;48.0;72.0;;
VIERZON;LYON PART DIEU;15;49.1;73.7;;
NANTES;SAINCAIZE;20;54.5;81.7;;
LYON PERRACHE  VILLE;VIERZON;15;49.1;73.7;;
LYON VAISE;MOULINS SUR ALLIER;10;32.6;48.9;;
LONGUEAU;AMIENS;;1.8;2.7;;
LANGOGNE;LA BASTIDE ST LAURENT;;4.4;6.6;;
SAINT AMAND MONTROND;VALLON EN SULLY;;6.1;9.2;;
CHAUNY;ST QUENTIN;;6.8;10.2;;
MONTENDRE;ST ANDRÉ DE CUBZAC;;7.7;11.5;;
LONGUEVILLE (IDF);ROMILLY;;8.8;13.2;;
TROYES;BAR SUR AUBE;;10.9;16.3;;
JONZAC;ST ANDRÉ DE CUBZAC;;11.2;16.8;;
ST QUENTIN;AULNOYE;;12.2;18.2;;
SAUMUR RIVE DROITE;TOURS;;12.3;18.5;;
ROMILLY;VENDEUVRE;;13.4;20.0;;
LIBOURNE;ST ASTIER;;14.1;21.1;;
BRIVE LA GAILLARDE;MEYMAC;;14.7;22.0;;
CONDAT LE LARDIN;EGLETONS;;15.9;23.8;;
BORDEAUX ST JEAN;MUSSIDAN;;16.8;25.1;;
SÉES;ECOMMOY;;17.2;25.8;;
SAINTES;ST ANDRÉ DE CUBZAC;;17.8;26.7;;
OISSEL;LE HAVRE;;18.1;27.2;;
SURDON;ECOMMOY;;18.6;27.8;;
LANGEAC;VILLEFORT;;18.7;28.1;;
CHAUMONT;VESOUL;;20.9;31.4;;
BORDEAUX ST JEAN;SAINTES;10;21.7;32.5;;
MONTPON-MÉNESTÉROL;BRIVE LA GAILLARDE;;22.1;33.1;;
LANGOGNE;NÎMES;;23.2;34.8;;
PONT STE MAXENCE;CAMBRAI;;24.8;37.2;;
CHAUMONT;LURE;10;25.2;37.8;;
LIBOURNE;BRIVE LA GAILLARDE;10;27.9;41.9;;
VERSAILLES-CHANTIERS;SURDON;10;27.9;41.9;;
ISSOIRE;VILLEFORT;10;28.8;43.1;;
BERNAY;VALOGNES;10;30.0;44.9;;
PARIS NORD;LE CATEAU;10;30.8;46.2;;
BOURGES;ROANNE;10;33.8;50.7;;
VILLEFORT;MARSEILLE;10;34.8;52.1;;
VERSAILLES-CHANTIERS;FLERS;10;35.1;52.7;;
HENDAYE;LANNEMEZAN;10;36.6;54.8;;
MÉZIDON;TOURS;15;37.1;55.6;;
CAEN;ST PIERRE DES CORPS;15;39.8;59.7;;
NOGENT SUR SEINE;VESOUL;15;40.4;60.7;;
SAUMUR RIVE DROITE;NEVERS;15;41.0;61.6;;
BORDEAUX ST JEAN;MEYMAC;15;41.9;62.8;;
BORDEAUX ST JEAN;USSEL;15;43.5;65.2;;
ST PIERRE DES CORPS;ROANNE;20;50.5;75.7;;
ANGERS ST LAUD;ST GERMAIN DES FOSSÉS;20;57.3;85.9;;
LYON PART DIEU;NANTES;15;80.7;121.0;;
LYON PERRACHE;NANTES;15;80.7;121.0;;
LYON PERRACHE;ST GERMAIN DES FOSSES;10;27.7;41.5;;
TOURS;LYON VAISE;15;63.0;94.5;;
GRAND COMBES-LA PISE;ALÈS;;3.3;5.0;;
POUGUES LES EAUX;NEVERS;;3.3;5.0;;
OISSEL;ROUEN;;3.5;5.3;;
VENDEUVRE;BAR SUR AUBE;;4.8;7.2;;
SALBRIS;VIERZON;;5.1;7.6;;
CAEN;MÉZIDON;;5.3;7.9;;
BAYEUX;LISON;;6.1;9.2;;
LA PARDIEU;ISSOIRE;;7.4;11.1;;
LANGOGNE;VILLEFORT;;8.3;12.5;;
SAINT FLORENT SUR CHER;SAINT AMAND MONTROND;;8.3;12.5;;
ALENÇON;LE MANS;;10.9;16.3;;
NEMOURS;GIEN;;13.1;19.6;;
CULMONT CHALINDREY;VESOUL;;13.8;20.7;;
PARIS SAINT LAZARE;VERNON;;14.7;22.0;;
PARIS NORD;ST-JUST-EN-CHAUSSÉE;;15.0;22.5;;
L'AIGLE;BRIOUZE;;15.4;23.1;;
BRIOUZE;FOLLIGNY;;15.9;23.8;;
LES AUBRAIS;AMBOISE;;16.5;24.7;;
ROMILLY;BAR SUR AUBE;;16.5;24.7;;
LA PARDIEU;ST GEORGES D'AURAC;;16.6;24.9;;
AMIENS;ETAPLES LE TOUQUET;;17.2;25.8;;
COMPIÈGNE;BUSIGNY;;17.4;26.0;;
CLERMONT FERRAND;LANGEAC;;18.3;27.4;;
LIBOURNE;NIVERSAC;;18.3;27.4;;
ARVANT;ST CHÉLY;;18.9;28.3;;
VENDEUVRE;CULMONT CHALINDREY;;18.9;28.3;;
BRASSAC LES MINES;LANGOGNE;;20.5;30.8;;
ARGENTAN;FOLLIGNY;;20.5;30.8;;
CHATELAILLON;MONTENDRE;;22.4;33.5;;
PARIS NORD;TERGNIER;;22.8;34.2;;
DREUX;BRIOUZE;;24.6;37.0;;
CREIL;RUE;;25.2;37.8;;
BRIOUDE;GÉNOLHAC;;26.1;39.2;;
LA ROCHELLE;ST MARIENS;;26.6;39.9;;
DREUX;FLERS;10;27.3;41.0;;
MONTPON-MÉNESTÉROL;CORRÈZE;10;28.3;42.4;;
ST ASTIER;MEYMAC;10;28.4;42.6;;
CLERMONT FERRAND;VILLEFORT;10;33.1;49.6;;
DREUX;GRANVILLE;15;37.5;56.3;;
NANTES;SAINTES;15;38.4;57.6;;
BELFORT;PARIS EST;20;59.2;88.8;;
LYON PART DIEU;ST PIERRE DES CORPS;15;62.7;94.1;;
ABBEVILLE;NOYELLES;;3.3;5.0;;
VILLEFORT;GÉNOLHAC;;3.3;5.0;;
ARGENTAN;SURDON;;3.7;5.6;;
CLERMONT-DE-L'OISE;ST-JUST-EN-CHAUSSÉE;;3.7;5.6;;
LIBOURNE;COUTRAS;;3.9;5.9;;
LISIEUX;PONT L'EVEQUE;;4.2;6.3;;
SÉES;ALENÇON;;4.6;6.9;;
ISSOIRE;ARVANT;;5.7;8.5;;
CORRÈZE;MEYMAC;;7.9;11.8;;
DREUX;VERNEUIL-SUR-AVRE;;7.9;11.8;;
BRASSAC LES MINES;ST GEORGES D'AURAC;;8.5;12.7;;
BAR SUR AUBE;CHAUMONT;;8.7;13.0;;
MONTARGIS;BRIARE;;9.5;14.2;;
TERRASSON;CORRÈZE;;12.2;18.2;;
CLERMONT-DE-L'OISE;AMIENS;;12.6;18.9;;
NOYON;BUSIGNY;;13.8;20.7;;
GIEN;POUGUES LES EAUX;;15.7;23.6;;
MÉZIDON;ALENÇON;;16.0;24.0;;
SURDON;VIRE;;16.2;24.3;;
LUÇON;ROCHEFORT;;17.2;25.8;;
EVREUX;PONT L'EVEQUE;;18.0;26.9;;
COARRAZE-NAY;ST GAUDENS;;19.8;29.7;;
LES AUBRAIS;SAINT PIERRE DES CORPS;;20.2;30.3;;
DREUX;ARGENTAN;;20.7;31.0;;
LES AUBRAIS;TOURS;;20.7;31.0;;
ARGENTAN;ECOMMOY;;21.2;31.8;;
SÉES;CHÂTEAU DU LOIR;;21.8;32.7;;
ORTHEZ;MONTRÉJEAU;;26.5;39.7;;
CLERMONT-DE-L'OISE;ETAPLES LE TOUQUET;10;27.3;41.0;;
MANTES-LA-JOLIE;TROUVILLE-DEAUVILLE;10;27.9;41.9;;
LA ROCHELLE;ST ANDRÉ DE CUBZAC;10;28.8;43.1;;
ST ASTIER;USSEL;10;30.0;44.9;;
MONTPON-MÉNESTÉROL;EGLETONS;10;30.4;45.6;;
LIBOURNE;TULLE (+ REBROUSSEMENT);10;31.0;46.5;;
MÉZIDON;CHÂTEAU DU LOIR;10;31.0;46.5;;
PARIS AUSTERLITZ  VILLE;VIERZON;15;32.0;48.0;;
TOURS;SAINCAIZE;10;32.3;48.5;;
LA ROCHE SUR YON;JONZAC;10;34.3;51.4;;
PARIS NORD;MAUBEUGE;15;35.5;53.2;;
TROYES;LURE;15;37.3;55.9;;
LYON PERRACHE;MONTLUCON VILLE;15;38.6;57.9;;
ST JEAN DE LUZ;ST GAUDENS;10;38.6;57.9;;
PARIS AUSTERLITZ;VALLON EN SULLY;20;46.4;69.6;;
SAUMUR RIVE DROITE;ST GERMAIN DES FOSSÉS;20;50.2;75.2;;
ANGERS ST LAUD;MOULINS SUR ALLIER;20;50.5;75.7;;
