new_id;arrival_time;departure_time;stop_sequence;trip_headsign;true_monday;true_tuesday;true_wednesday;true_thursday;true_friday;true_saturday;true_sunday;type;capacite_max;stop_name
1;1158;1158;0;875708;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
1;1207;1208;1;875708;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
1;1231;1233;2;875708;1;1;1;1;1;1;1;TER;300;Vichy
1;1316;1318;3;875708;1;1;1;1;1;1;1;TER;300;Roanne
1;1347;1348;4;875708;1;1;1;1;1;1;1;TER;300;Tarare
1;1422;1425;5;875708;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
1;1433;1433;6;875708;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
2;1157;1157;0;875708;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
2;1206;1207;1;875708;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
2;1228;1230;2;875708;1;1;1;1;1;1;1;TER;300;Vichy
2;1317;1319;3;875708;1;1;1;1;1;1;1;TER;300;Roanne
2;1348;1349;4;875708;1;1;1;1;1;1;1;TER;300;Tarare
2;1422;1425;5;875708;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
2;1433;1433;6;875708;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
3;0701;0701;0;875702;1;1;1;1;1;0;0;TER;300;Clermont-Ferrand
3;0916;0919;1;875702;1;1;1;1;1;0;0;TER;300;Lyon-Part-Dieu
3;0927;0927;2;875702;1;1;1;1;1;0;0;TER;300;Lyon-Perrache
4;1757;1757;0;875718;1;1;1;1;1;0;1;TER;300;Clermont-Ferrand
4;1806;1807;1;875718;1;1;1;1;1;0;1;TER;300;Riom-Chatel-Guyon
4;1828;1830;2;875718;1;1;1;1;1;0;1;TER;300;Vichy
4;1917;1919;3;875718;1;1;1;1;1;0;1;TER;300;Roanne
4;1948;1949;4;875718;1;1;1;1;1;0;1;TER;300;Tarare
4;2022;2025;5;875718;1;1;1;1;1;0;1;TER;300;Lyon-Part-Dieu
4;2033;2033;6;875718;1;1;1;1;1;0;1;TER;300;Lyon-Perrache
5;0701;0701;0;875702;1;1;1;1;1;0;0;TER;300;Clermont-Ferrand
5;0917;0920;1;875702;1;1;1;1;1;0;0;TER;300;Lyon-Part-Dieu
5;0928;0928;2;875702;1;1;1;1;1;0;0;TER;300;Lyon-Perrache
6;1656;1656;0;875716;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
6;1704;1705;1;875716;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
6;1726;1728;2;875716;1;1;1;1;1;1;1;TER;300;Vichy
6;1816;1818;3;875716;1;1;1;1;1;1;1;TER;300;Roanne
6;1847;1848;4;875716;1;1;1;1;1;1;1;TER;300;Tarare
6;1922;1925;5;875716;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
6;1933;1933;6;875716;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
7;1656;1656;0;875716;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
7;1705;1706;1;875716;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
7;1728;1730;2;875716;1;1;1;1;1;1;1;TER;300;Vichy
7;1817;1819;3;875716;1;1;1;1;1;1;1;TER;300;Roanne
7;1848;1849;4;875716;1;1;1;1;1;1;1;TER;300;Tarare
7;1922;1925;5;875716;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
7;1933;1933;6;875716;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
8;1758;1758;0;875718;1;1;1;1;1;0;1;TER;300;Clermont-Ferrand
8;1807;1808;1;875718;1;1;1;1;1;0;1;TER;300;Riom-Chatel-Guyon
8;1829;1831;2;875718;1;1;1;1;1;0;1;TER;300;Vichy
8;1916;1918;3;875718;1;1;1;1;1;0;1;TER;300;Roanne
8;1947;1948;4;875718;1;1;1;1;1;0;1;TER;300;Tarare
8;2022;2025;5;875718;1;1;1;1;1;0;1;TER;300;Lyon-Part-Dieu
8;2033;2033;6;875718;1;1;1;1;1;0;1;TER;300;Lyon-Perrache
9;1958;1958;0;875720;0;0;0;0;0;0;1;TER;300;Clermont-Ferrand
9;2007;2008;1;875720;0;0;0;0;0;0;1;TER;300;Riom-Chatel-Guyon
9;2031;2033;2;875720;0;0;0;0;0;0;1;TER;300;Vichy
9;2116;2118;3;875720;0;0;0;0;0;0;1;TER;300;Roanne
9;2147;2148;4;875720;0;0;0;0;0;0;1;TER;300;Tarare
9;2222;2225;5;875720;0;0;0;0;0;0;1;TER;300;Lyon-Part-Dieu
9;2233;2233;6;875720;0;0;0;0;0;0;1;TER;300;Lyon-Perrache
10;1957;1957;0;875720;0;0;0;0;0;0;1;TER;300;Clermont-Ferrand
10;2006;2007;1;875720;0;0;0;0;0;0;1;TER;300;Riom-Chatel-Guyon
10;2028;2030;2;875720;0;0;0;0;0;0;1;TER;300;Vichy
10;2116;2118;3;875720;0;0;0;0;0;0;1;TER;300;Roanne
10;2148;2149;4;875720;0;0;0;0;0;0;1;TER;300;Tarare
10;2222;2225;5;875720;0;0;0;0;0;0;1;TER;300;Lyon-Part-Dieu
10;2233;2233;6;875720;0;0;0;0;0;0;1;TER;300;Lyon-Perrache
11;1458;1458;0;875712;1;1;1;1;1;0;1;TER;300;Clermont-Ferrand
11;1507;1508;1;875712;1;1;1;1;1;0;1;TER;300;Riom-Chatel-Guyon
11;1531;1533;2;875712;1;1;1;1;1;0;1;TER;300;Vichy
11;1616;1618;3;875712;1;1;1;1;1;0;1;TER;300;Roanne
11;1647;1648;4;875712;1;1;1;1;1;0;1;TER;300;Tarare
11;1722;1725;5;875712;1;1;1;1;1;0;1;TER;300;Lyon-Part-Dieu
11;1733;1733;6;875712;1;1;1;1;1;0;1;TER;300;Lyon-Perrache
12;1358;1358;0;875710;1;1;1;1;0;1;0;TER;300;Clermont-Ferrand
12;1407;1408;1;875710;1;1;1;1;0;1;0;TER;300;Riom-Chatel-Guyon
12;1431;1433;2;875710;1;1;1;1;0;1;0;TER;300;Vichy
12;1516;1518;3;875710;1;1;1;1;0;1;0;TER;300;Roanne
12;1547;1548;4;875710;1;1;1;1;0;1;0;TER;300;Tarare
12;1622;1625;5;875710;1;1;1;1;0;1;0;TER;300;Lyon-Part-Dieu
12;1633;1633;6;875710;1;1;1;1;0;1;0;TER;300;Lyon-Perrache
13;1457;1457;0;875712;1;1;1;1;1;0;1;TER;300;Clermont-Ferrand
13;1506;1507;1;875712;1;1;1;1;1;0;1;TER;300;Riom-Chatel-Guyon
13;1528;1530;2;875712;1;1;1;1;1;0;1;TER;300;Vichy
13;1616;1618;3;875712;1;1;1;1;1;0;1;TER;300;Roanne
13;1648;1649;4;875712;1;1;1;1;1;0;1;TER;300;Tarare
13;1722;1725;5;875712;1;1;1;1;1;0;1;TER;300;Lyon-Part-Dieu
13;1733;1733;6;875712;1;1;1;1;1;0;1;TER;300;Lyon-Perrache
14;0857;0857;0;875704;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
14;0906;0907;1;875704;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
14;0928;0930;2;875704;1;1;1;1;1;1;1;TER;300;Vichy
14;1017;1019;3;875704;1;1;1;1;1;1;1;TER;300;Roanne
14;1048;1049;4;875704;1;1;1;1;1;1;1;TER;300;Tarare
14;1122;1125;5;875704;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
14;1133;1133;6;875704;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
15;1357;1357;0;875710;1;1;1;1;0;1;0;TER;300;Clermont-Ferrand
15;1406;1407;1;875710;1;1;1;1;0;1;0;TER;300;Riom-Chatel-Guyon
15;1428;1430;2;875710;1;1;1;1;0;1;0;TER;300;Vichy
15;1517;1519;3;875710;1;1;1;1;0;1;0;TER;300;Roanne
15;1548;1549;4;875710;1;1;1;1;0;1;0;TER;300;Tarare
15;1622;1625;5;875710;1;1;1;1;0;1;0;TER;300;Lyon-Part-Dieu
15;1633;1633;6;875710;1;1;1;1;0;1;0;TER;300;Lyon-Perrache
16;1157;1157;0;875708;0;1;1;0;0;0;0;TER;300;Clermont-Ferrand
16;1206;1207;1;875708;0;1;1;0;0;0;0;TER;300;Riom-Chatel-Guyon
16;1222;1223;2;875708;0;1;1;0;0;0;0;TER;300;Gannat
16;1316;1318;3;875708;0;1;1;0;0;0;0;TER;300;Roanne
16;1348;1349;4;875708;0;1;1;0;0;0;0;TER;300;Tarare
16;1422;1425;5;875708;0;1;1;0;0;0;0;TER;300;Lyon-Part-Dieu
16;1433;1433;6;875708;0;1;1;0;0;0;0;TER;300;Lyon-Perrache
17;0600;0600;0;875700;1;1;1;1;1;1;0;TER;300;Clermont-Ferrand
17;0608;0610;1;875700;1;1;1;1;1;1;0;TER;300;Riom-Chatel-Guyon
17;0634;0636;2;875700;1;1;1;1;1;1;0;TER;300;Vichy
17;0724;0726;3;875700;1;1;1;1;1;1;0;TER;300;Roanne
17;0756;0757;4;875700;1;1;1;1;1;1;0;TER;300;Tarare
17;0835;0843;5;875700;1;1;1;1;1;1;0;TER;300;Lyon-Part-Dieu
17;0851;0851;6;875700;1;1;1;1;1;1;0;TER;300;Lyon-Perrache
18;0858;0858;0;875704;1;1;1;1;1;1;1;TER;300;Clermont-Ferrand
18;0907;0908;1;875704;1;1;1;1;1;1;1;TER;300;Riom-Chatel-Guyon
18;0931;0933;2;875704;1;1;1;1;1;1;1;TER;300;Vichy
18;1016;1018;3;875704;1;1;1;1;1;1;1;TER;300;Roanne
18;1047;1048;4;875704;1;1;1;1;1;1;1;TER;300;Tarare
18;1122;1125;5;875704;1;1;1;1;1;1;1;TER;300;Lyon-Part-Dieu
18;1133;1133;6;875704;1;1;1;1;1;1;1;TER;300;Lyon-Perrache
19;0600;0600;0;875700;1;1;1;1;1;1;0;TER;300;Clermont-Ferrand
19;0608;0609;1;875700;1;1;1;1;1;1;0;TER;300;Riom-Chatel-Guyon
19;0631;0633;2;875700;1;1;1;1;1;1;0;TER;300;Vichy
19;0718;0720;3;875700;1;1;1;1;1;1;0;TER;300;Roanne
19;0755;0756;4;875700;1;1;1;1;1;1;0;TER;300;Tarare
19;0835;0843;5;875700;1;1;1;1;1;1;0;TER;300;Lyon-Part-Dieu
19;0851;0851;6;875700;1;1;1;1;1;1;0;TER;300;Lyon-Perrache
20;1927;1927;0;875746;1;1;1;1;1;0;0;TER;300;Lyon-Perrache
20;1935;1938;1;875746;1;1;1;1;1;0;0;TER;300;Lyon-Part-Dieu
20;2154;2154;2;875746;1;1;1;1;1;0;0;TER;300;Clermont-Ferrand